allele,cutoff,n,ms_positive
HLA-A01:01,0.20321195652172908,1901,607
HLA-A02:01,0.5317168260869307,1157,516
HLA-A03:01,0.5148090869565005,577,101
HLA-A11:01,0.5000456304347533,976,69
HLA-A23:01,0.3722731304347385,557,225
HLA-A24:02,0.4431803260869367,701,296
HLA-A26:01,0.5480300217390979,93,62
HLA-A33:01,0.29450876086955674,1311,640
HLA-A68:01,0.7371183260869167,2247,79
HLA-B07:02,0.19953280434782253,6549,2649
HLA-B08:01,0.19770473913043124,8217,3854
HLA-B15:01,0.6004131304347817,2577,298
HLA-B18:01,0.08643271739130974,7347,3318
HLA-B27:05,0.3588789999999591,3019,1181
HLA-B35:01,0.16115186956521182,5430,870
HLA-B38:01,0.1789161086956368,3281,1445
HLA-B40:01,0.34389113043478337,4298,2252
HLA-B44:02,0.3573268913043612,4859,649
HLA-B51:01,0.12781558695652184,11601,5077
