SAMPID	SMTSD
BMS-X4LF-0126-SM-4JBHL	Thyroid
BMS-X4LF-0226-SM-4JBJ3	Artery - Pulmonary
BMS-X4LF-0326-SM-4JBIR	Muscle - Skeletal
BMS-X4LF-0426-SM-4JBIS	Skin - Sun Exposed (Lower leg)
BMS-X4LF-0526-SM-4JBHX	Adrenal Gland
BMS-X4LF-0626-SM-4JBGY	Pancreas
BMS-X4LF-0726-SM-4JBI4	Thyroid
BMS-X4LF-0826-SM-4JBIP	Artery - Pulmonary
BMS-X4LF-0926-SM-4JBII	Muscle - Skeletal
BMS-X4LF-1026-SM-4JBI8	Skin - Sun Exposed (Lower leg)
BMS-X4LF-1126-SM-4JBH8	Adrenal Gland
BMS-X4LF-1226-SM-4JBH6	Pancreas
BMS-X4LF-1326-SM-4JBJ6	Thyroid
BMS-X4LF-1426-SM-4JBJL	Artery - Pulmonary
BMS-X4LF-1526-SM-4JBIT	Muscle - Skeletal
BMS-X4LF-1626-SM-4JBIK	Skin - Sun Exposed (Lower leg)
BMS-X4LF-1726-SM-4JBH1	Adrenal Gland
BMS-X4LF-1826-SM-4JBGZ	Pancreas
BMS-X4LF-1926-SM-4JBHA	Thyroid
BMS-X4LF-2126-SM-4JBIU	Muscle - Skeletal
BMS-X4LF-2226-SM-4JBIX	Skin - Sun Exposed (Lower leg)
BMS-X4LF-2326-SM-4JBH2	Adrenal Gland
BMS-X4LF-2426-SM-4JBHC	Pancreas
BMS-X4LF-2626-SM-4JBI6	Thyroid
BMS-X4LF-2726-SM-4JBIB	Thyroid
BMS-X4LF-2826-SM-4JBIN	Artery - Pulmonary
BMS-X4LF-2926-SM-4JBIV	Artery - Pulmonary
BMS-X4LF-3026-SM-4JBJ5	Muscle - Skeletal
BMS-X4LF-3126-SM-4JBIW	Muscle - Skeletal
BMS-X4LF-3226-SM-4JBJF	Skin - Sun Exposed (Lower leg)
BMS-X4LF-3326-SM-4JBJI	Skin - Sun Exposed (Lower leg)
BMS-X4LF-3426-SM-4JBHU	Adrenal Gland
BMS-X4LF-3526-SM-4JBHW	Adrenal Gland
BMS-X4LF-3826-SM-4JBHP	Thyroid
BMS-X4LF-3926-SM-4JBHY	Thyroid
BMS-X4LF-4026-SM-4JBIG	Artery - Pulmonary
BMS-X4LF-4126-SM-4JBIH	Artery - Pulmonary
BMS-X4LF-4226-SM-4JBJ1	Muscle - Skeletal
BMS-X4LF-4326-SM-4JBJ2	Muscle - Skeletal
BMS-X4LF-4426-SM-4JBJ9	Skin - Sun Exposed (Lower leg)
BMS-X4LF-4526-SM-4JBJ4	Skin - Sun Exposed (Lower leg)
BMS-X4LF-4626-SM-4JBI3	Adrenal Gland
BMS-X4LF-4726-SM-4JBHK	Adrenal Gland
BMS-X4LF-5026-SM-4JBI7	Thyroid
BMS-X4LF-5126-SM-4JBHM	Thyroid
BMS-X4LF-5226-SM-4JBJC	Artery - Pulmonary
BMS-X4LF-5326-SM-4JBIF	Artery - Pulmonary
BMS-X4LF-5426-SM-4JBIE	Muscle - Skeletal
BMS-X4LF-5526-SM-4JBIA	Muscle - Skeletal
BMS-X4LF-5626-SM-4JBJD	Skin - Sun Exposed (Lower leg)
BMS-X4LF-5726-SM-4JBJ7	Skin - Sun Exposed (Lower leg)
BMS-X4LF-5826-SM-4JBHV	Adrenal Gland
BMS-X4LF-5926-SM-4JBI2	Adrenal Gland
BMS-X4LF-6226-SM-4JBIC	Thyroid
BMS-X4LF-6326-SM-4JBHS	Thyroid
BMS-X4LF-6426-SM-4JBJJ	Artery - Pulmonary
BMS-X4LF-6626-SM-4JBIZ	Muscle - Skeletal
BMS-X4LF-6726-SM-4JBIO	Muscle - Skeletal
BMS-X4LF-6826-SM-4JBJB	Skin - Sun Exposed (Lower leg)
BMS-X4LF-6926-SM-4JBJE	Skin - Sun Exposed (Lower leg)
BMS-X4LF-7026-SM-4JBHZ	Adrenal Gland
BMS-X4LF-7126-SM-4JBI1	Adrenal Gland
BMS-XBED-0126-SM-4GICY	Adrenal Gland
BMS-XBED-0226-SM-4GIAX	Artery - Aorta
BMS-XBED-0326-SM-4GIE7	Muscle - Skeletal
BMS-XBED-0426-SM-4GIDG	Pancreas
BMS-XBED-0526-SM-4GIDN	Skin - Sun Exposed (Lower leg)
BMS-XBED-0626-SM-4GID1	Thyroid
BMS-XBED-0726-SM-4GICZ	Adrenal Gland
BMS-XBED-0826-SM-4GICS	Artery - Aorta
BMS-XBED-0926-SM-4GIED	Muscle - Skeletal
BMS-XBED-1026-SM-4GIE5	Pancreas
BMS-XBED-1126-SM-4GIEA	Skin - Sun Exposed (Lower leg)
BMS-XBED-1226-SM-4GIDX	Thyroid
BMS-XBED-1326-SM-4GIE6	Adrenal Gland
BMS-XBED-1426-SM-4GICT	Artery - Aorta
BMS-XBED-1526-SM-4GICO	Muscle - Skeletal
BMS-XBED-1626-SM-4GID4	Pancreas
BMS-XBED-1726-SM-4GICP	Skin - Sun Exposed (Lower leg)
BMS-XBED-1826-SM-4GICU	Thyroid
BMS-XBED-1926-SM-4GIDL	Adrenal Gland
BMS-XBED-2026-SM-4GICQ	Artery - Aorta
BMS-XBED-2126-SM-4GICR	Muscle - Skeletal
BMS-XBED-2226-SM-4GIEB	Pancreas
BMS-XBED-2326-SM-4GICM	Skin - Sun Exposed (Lower leg)
BMS-XBED-2426-SM-4GIDW	Thyroid
BMS-XBED-2626-SM-4GIAN	Adrenal Gland
BMS-XBED-2726-SM-4GIAS	Adrenal Gland
BMS-XBED-2826-SM-4GIE9	Artery - Aorta
BMS-XBED-2926-SM-4GIDC	Artery - Aorta
BMS-XBED-3026-SM-4GIDK	Muscle - Skeletal
BMS-XBED-3126-SM-4GIEC	Muscle - Skeletal
BMS-XBED-3326-SM-4GIAO	Pancreas
BMS-XBED-3426-SM-4GIAT	Skin - Sun Exposed (Lower leg)
BMS-XBED-3526-SM-4GIB1	Skin - Sun Exposed (Lower leg)
BMS-XBED-3626-SM-4GIDR	Thyroid
BMS-XBED-3726-SM-4GIDH	Thyroid
BMS-XBED-3826-SM-4GIDP	Adrenal Gland
BMS-XBED-3926-SM-4GIDI	Adrenal Gland
BMS-XBED-4026-SM-4GIE3	Artery - Aorta
BMS-XBED-4126-SM-4GIDE	Artery - Aorta
BMS-XBED-4226-SM-4GID7	Muscle - Skeletal
BMS-XBED-4326-SM-4GICV	Muscle - Skeletal
BMS-XBED-4626-SM-4GIAP	Skin - Sun Exposed (Lower leg)
BMS-XBED-4726-SM-4GIAQ	Skin - Sun Exposed (Lower leg)
BMS-XBED-4826-SM-4GIDO	Thyroid
BMS-XBED-4926-SM-4GIDY	Thyroid
BMS-XBED-5026-SM-4GID5	Adrenal Gland
BMS-XBED-5126-SM-4GID3	Adrenal Gland
BMS-XBED-5226-SM-4GIE2	Artery - Aorta
BMS-XBED-5326-SM-4GIAY	Artery - Aorta
BMS-XBED-5426-SM-4GID8	Muscle - Skeletal
BMS-XBED-5526-SM-4GIE8	Muscle - Skeletal
BMS-XBED-5626-SM-4GIAU	Pancreas
BMS-XBED-5826-SM-4GID6	Skin - Sun Exposed (Lower leg)
BMS-XBED-5926-SM-4GIDA	Skin - Sun Exposed (Lower leg)
BMS-XBED-6026-SM-4GID9	Thyroid
BMS-XBED-6126-SM-4GICW	Thyroid
BMS-XBED-6226-SM-4GICX	Adrenal Gland
BMS-XBED-6326-SM-4GIDB	Adrenal Gland
BMS-XBED-6426-SM-4GIDJ	Artery - Aorta
BMS-XBED-6526-SM-4GIDF	Artery - Aorta
BMS-XBED-6626-SM-4GIDM	Muscle - Skeletal
BMS-XBED-6726-SM-4GIDD	Muscle - Skeletal
BMS-XBED-6926-SM-4GIB3	Pancreas
BMS-XBED-7026-SM-4GIAM	Skin - Sun Exposed (Lower leg)
BMS-XBED-7126-SM-4GID2	Skin - Sun Exposed (Lower leg)
BMS-XBED-7226-SM-4GIDQ	Thyroid
BMS-XBED-7326-SM-4GIAV	Thyroid
BMS-XMK1-0126-SM-4MVOL	Adrenal Gland
BMS-XMK1-0226-SM-4MVP2	Pancreas
BMS-XMK1-0326-SM-4MVOM	Artery - Aorta
BMS-XMK1-0426-SM-4MVON	Thyroid
BMS-XMK1-0526-SM-4MVP3	Skin - Sun Exposed (Lower leg)
BMS-XMK1-0626-SM-4MVOO	Muscle - Skeletal
BMS-XMK1-0726-SM-4MVOV	Thyroid
BMS-XMK1-0826-SM-4MVOW	Artery - Aorta
BMS-XMK1-0926-SM-4MVOX	Muscle - Skeletal
BMS-XMK1-1026-SM-4MVOY	Skin - Sun Exposed (Lower leg)
BMS-XMK1-1126-SM-4MVOZ	Adrenal Gland
BMS-XMK1-1226-SM-4MVP1	Pancreas
BMS-XMK1-1326-SM-4MVNI	Thyroid
BMS-XMK1-1426-SM-4MVNJ	Artery - Aorta
BMS-XMK1-1526-SM-4MVNK	Muscle - Skeletal
BMS-XMK1-1626-SM-4MVNL	Skin - Sun Exposed (Lower leg)
BMS-XMK1-1726-SM-4MVNM	Adrenal Gland
BMS-XMK1-1826-SM-4MVNN	Pancreas
BMS-XMK1-1926-SM-4MVP4	Thyroid
BMS-XMK1-2026-SM-4MVP5	Artery - Aorta
BMS-XMK1-2126-SM-4MVP6	Muscle - Skeletal
BMS-XMK1-2226-SM-4MVP7	Skin - Sun Exposed (Lower leg)
